gene_symbol;fpkm_ctl_B_1D6_d7;fpkm_ctl_B_4C2_d7;fpkm_ctl_B_WTC11_d7;fpkm_het_B_2A3_d7;fpkm_het_B_3D4_8_d7;fpkm_het_B_4A4_d7;fpkm_hom_B_2B1_9_d7;fpkm_hom_B_2B4_1_d7;fpkm_hom_B_3D6_d7;average_fpkm_ctl_BMP_d7;average_fpkm_het_BMP_d7;average_fpkm_hom_BMP_d7;log2fc_het_BMP_D7_vs_ctl_BMP_D7;padj_het_BMP_D7_vs_ctl_BMP_D7;log2fc_hom_BMP_D7_vs_ctl_BMP_D7;padj_hom_BMP_D7_vs_ctl_BMP_D7;log2fc_hom_BMP_D7_vs_het_BMP_D7;padj_hom_BMP_D7_vs_het_BMP_D7
SST;1.15;15.45;19.64;15.59;0.86;5.5;1.01;1.53;2.31;12.08;7.316666667;1.616666667;-0.926542575;0.99985652;-3.070881289;0.007636519;-2.146073091;0.406549298
TKTL1;2.28;3.93;4.95;4.77;1.56;4.07;0.78;1.25;1.17;3.72;3.466666667;1.066666667;-0.201360605;0.99985652;-1.871402891;1.86E-05;-1.672175592;0.008831858
SIAH2;6.83;5.86;7.44;6.42;5.95;5.33;4.28;3.86;4.42;6.71;5.9;4.186666667;-0.274178817;0.99985652;-0.75016777;0.007626421;-0.479162035;0.224859379
ITGA8;0.79;0.82;2.2;2.04;0.42;1.71;0.1;0.21;0.08;1.27;1.39;0.13;-0.010744386;0.99985652;-3.609352261;1.71E-10;-3.600354071;1.44E-06
TRNT1;8.2;7.24;7.82;10.92;9.28;11.63;4.66;4.79;4.47;7.753333333;10.61;4.64;0.33695457;0.99985652;-0.752910304;0.001203821;-1.093526317;3.04E-12
SIAH3;0.43;0.64;1.48;1.79;0.95;1.88;0.21;0.13;0.19;0.85;1.54;0.176666667;0.78240103;0.99985652;-2.294339777;0.000280542;-3.07861373;3.11E-15
FRAS1;5.07;3.84;5.03;6.15;4.94;6.09;6.94;8.14;7.64;4.646666667;5.726666667;7.573333333;0.233113673;0.99985652;0.659987051;0.002598931;0.423006754;0.012943571
SOX9;8.94;7.17;18.69;10.25;9.49;7.9;4.57;2.91;6.15;11.6;9.213333333;4.543333333;-0.402127589;0.99985652;-1.402393953;0.007843136;-1.002127005;0.011643506
RPL36A-HNRNPH2;7.68;11.14;8.48;3.2;6.76;4.7;3.07;3.02;5.88;9.1;4.886666667;3.99;-0.978213267;0.710263715;-1.269682417;0.003302631;-0.294227284;0.999982966
SLC16A3;20.3;30.95;26.12;7.81;17.45;2.35;12.49;9.94;16.55;25.79;9.203333333;12.99333333;-1.567902421;0.99985652;-1.058921767;0.001145478;0.506166179;0.999982966
IFITM3;339.79;457.51;424.45;426.21;380;388.18;289.24;266.32;281.48;407.25;398.13;279.0133333;-0.203144541;0.99985652;-0.718494916;0.001145478;-0.518105548;2.06E-07
DLC1;1.28;1.24;2.87;2.25;1.28;2.02;0.59;0.94;0.62;1.796666667;1.85;0.716666667;-0.048372481;0.99985652;-1.46538065;0.004271795;-1.420334418;7.82E-05
FOXD3;2.58;5.57;13.94;6.85;3.17;5.99;0.05;0.09;0.09;7.363333333;5.336666667;0.076666667;-0.545360375;0.99985652;-6.624524042;6.70E-11;-6.080936243;9.31E-24
SEMA6B;14.36;14.84;13.63;10.39;12.32;8.59;8.38;8.23;10.9;14.27666667;10.43333333;9.17;-0.534778798;0.835659347;-0.705395591;0.003302631;-0.173904473;0.999982966
ROPN1;0.37;1.03;2.25;1.86;0.55;1.1;0;0;0;1.216666667;1.17;0;-0.205939827;0.99985652;-6.302909916;0.004644829;-6.097957677;0.008184501
MAP7;6.76;6.49;5.01;8.3;7.51;8.03;11.37;13.07;12.8;6.086666667;7.946666667;12.41333333;0.302506915;0.99985652;0.96483674;1.78E-05;0.658396256;6.17E-07
LPAR6;5.12;3.52;5.79;5.52;4.56;6.11;2.88;3.33;2.4;4.81;5.396666667;2.87;0.082105265;0.99985652;-0.821699712;0.105104242;-0.907690536;0.0058673
