gene_symbol;fpkm_ctl_N_1D6_d7;fpkm_ctl_N_4C2_d7;fpkm_ctl_N_WTC11_d7;fpkm_het_N_2A3_d7;fpkm_het_N_3D4_8_d7;fpkm_het_N_4A4_d7;fpkm_hom_N_2B1_9_d7;fpkm_hom_N_2B4_1_d7;fpkm_hom_N_3D6_d7;average_fpkm_ctl_NO_d7;average_fpkm_het_NO_d7;average_fpkm_hom_NO_d7;log2fc_het_NO_D7_vs_ctl_NO_D7;padj_het_NO_D7_vs_ctl_NO_D7;log2fc_hom_NO_D7_vs_ctl_NO_D7;padj_hom_NO_D7_vs_ctl_NO_D7;log2fc_hom_NO_D7_vs_het_NO_D7;padj_hom_NO_D7_vs_het_NO_D7
MAMLD1;1.71;6.89;3.62;6.85;3.45;5.65;2.6;2.19;1.28;4.073333333;5.316666667;2.023333333;0.360937299;0.75768264;-1.02046365;0.45408479;-1.384092392;0.00049829
WNT1;0.36;1.08;2.16;2.94;2.12;1.92;0.12;0.23;0.45;1.2;2.326666667;0.266666667;0.898024836;;-2.207566242;0.265582959;-3.109941257;4.21E-08
WNT10B;0.75;2.86;3.12;7.07;3.35;4.95;0.7;0.6;0.57;2.243333333;5.123333333;0.623333333;1.14591746;0.149821861;-1.86748813;0.087945792;-3.016495136;1.03E-14
PCLAF;32.51;51.7;37.01;52.76;51.93;58.62;34.39;28.14;35.99;40.40666667;54.43666667;32.84;0.386828408;0.145855784;-0.328285139;0.581375913;-0.717881345;2.73E-05
ID4;5.49;11.49;8.73;19.38;11.81;24.8;9.53;7.46;5.49;8.57;18.66333333;7.493333333;1.084206702;0.019188931;-0.216228316;0.807027216;-1.3031345;0.000110535
ZFAND5;38.98;69.7;47.39;75.55;47.61;76.77;46.43;37.42;37.04;52.02333333;66.64333333;40.29666667;0.323388196;0.392721481;-0.39027444;0.543464792;-0.716262575;0.007901129
ENPP2;2.56;11.91;5.47;15.33;7.55;12.58;6.46;4.73;2.54;6.646666667;11.82;4.576666667;0.805715633;0.469536691;-0.546791582;0.807771427;-1.355039553;0.002768582
TMEM132B;4.53;2.37;3.13;1.13;2.48;1.22;3.85;2.8;5.42;3.343333333;1.61;4.023333333;-1.09319772;0.054040858;0.231617515;0.807746388;1.32115056;0.004093783
GDF10;0.48;1.01;1.89;3.45;2.41;2.43;0.44;0.2;0.49;1.126666667;2.763333333;0.376666667;1.240255817;;-1.612055427;0.384554366;-2.853583481;1.73E-10
TOX;0.84;2.66;1.52;4.43;1.32;3.73;0.7;0.75;0.54;1.673333333;3.16;0.663333333;0.887025855;0.263417769;-1.346007733;0.198774802;-2.23552152;8.64E-06
ST6GAL2;0.81;1.61;1.26;2.81;1.21;2.61;1;0.67;0.88;1.226666667;2.21;0.85;0.769495766;0.194817133;-0.567819499;0.562814414;-1.339131645;0.005617524
CNTNAP3;1.47;2.48;2.24;3.09;2.14;2.9;1.5;1.03;1.62;2.063333333;2.71;1.383333333;0.355343347;0.330232602;-0.599853216;0.45408479;-0.957415155;0.001038678
SLC44A5;0.77;2.24;1.5;2.73;1.69;2.66;1.06;0.97;0.61;1.503333333;2.36;0.88;0.652150711;0.297647104;-0.728060412;0.593935621;-1.383734863;0.001860752
TPK1;2.6;1.31;3.67;1.42;1.78;1.51;5;4.1;3.05;2.526666667;1.57;4.05;-0.768854708;;0.620943118;0.613900348;1.38508721;0.00013321
FRZB;1.32;7.88;2.74;7.12;2.5;4.91;1.69;1.15;1.59;3.98;4.843333333;1.476666667;0.262195538;0.877515707;-1.434384528;0.348053863;-1.696871522;0.000527289
PAX7;2.02;7.93;5.16;14.09;5.73;14.53;3.29;1.25;1.81;5.036666667;11.45;2.116666667;1.115979592;0.308079781;-1.307384359;0.543464792;-2.423797077;0.0032266
SLCO1A2;0.91;0.23;0.97;0.07;0.47;0.22;1.34;1.18;0.94;0.703333333;0.253333333;1.153333333;-1.588450134;;0.581606289;0.672784031;2.16343157;0.006752831
TKTL1;1.35;6.75;2.54;5.76;1.89;4.94;1.47;1.37;0.74;3.546666667;4.196666667;1.193333333;0.217415705;0.846930381;-1.579667449;0.255395376;-1.799450333;0.002583828
ALCAM;12.58;27.59;15.06;23.81;14.08;22.94;12.09;8.58;12.86;18.41;20.27666667;11.17666667;0.111256778;0.846930381;-0.730154286;0.362505527;-0.842942602;0.009606252
LRP2;2.06;4.4;4.06;6.92;3.58;6.18;2.6;1.68;1.72;3.506666667;5.56;2;0.62694419;0.196362889;-0.83293021;0.265961358;-1.462309635;5.34E-07
APCDD1;3.29;4.62;5.64;8.66;6.74;6.5;3.54;2.88;3.81;4.516666667;7.3;3.41;0.647208633;0.082480834;-0.43724807;0.587864971;-1.087679384;5.13E-06
FZD10;8.88;14.24;12.14;22.88;14.53;19.41;11.92;8.46;10.67;11.75333333;18.94;10.35;0.64532946;0.054117984;-0.210530044;0.730328549;-0.858432552;0.00130597
IDI1;45.42;55.13;66.14;66.41;77.69;74.46;49.15;36.89;50.38;55.56333333;72.85333333;45.47333333;0.345104937;0.196395758;-0.323492733;0.593935621;-0.671738015;0.001654463
PRDM16;0.37;1.32;0.69;1.24;0.64;1.21;0.42;0.24;0.31;0.793333333;1.03;0.323333333;0.35293491;0.659229913;-1.29444856;0.301431945;-1.648652658;0.000288239
CTNNA2;1.86;6.68;4.1;9.68;4.82;8.3;3.49;3.64;2.59;4.213333333;7.6;3.24;0.877709513;0.165463638;-0.418747621;0.702240789;-1.299325982;8.14E-05
ISM1;0.41;1.09;0.77;2.28;1.63;2.07;0.43;0.42;0.19;0.756666667;1.993333333;0.346666667;1.373368642;;-1.114077897;0.541747722;-2.492471979;1.26E-07
